filename,label
spkr103_1.npy,Spanish
spkr103_10.npy,Spanish
spkr103_11.npy,Spanish
spkr103_12.npy,Spanish
spkr103_13.npy,Spanish
spkr103_14.npy,Spanish
spkr103_15.npy,Spanish
spkr103_18.npy,Spanish
spkr103_19.npy,Spanish
spkr103_2.npy,Spanish
spkr103_20.npy,Spanish
spkr103_21.npy,Spanish
spkr103_22.npy,Spanish
spkr103_23.npy,Spanish
spkr103_24.npy,Spanish
spkr103_26.npy,Spanish
spkr103_28.npy,Spanish
spkr103_29.npy,Spanish
spkr103_30.npy,Spanish
spkr103_31.npy,Spanish
spkr103_33.npy,Spanish
spkr103_34.npy,Spanish
spkr103_35.npy,Spanish
spkr103_36.npy,Spanish
spkr103_37.npy,Spanish
spkr103_38.npy,Spanish
spkr103_4.npy,Spanish
spkr103_40.npy,Spanish
spkr103_42.npy,Spanish
spkr103_43.npy,Spanish
spkr103_44.npy,Spanish
spkr103_45.npy,Spanish
spkr103_46.npy,Spanish
spkr103_5.npy,Spanish
spkr103_50.npy,Spanish
spkr103_51.npy,Spanish
spkr103_52.npy,Spanish
spkr103_53.npy,Spanish
spkr103_55.npy,Spanish
spkr103_56.npy,Spanish
spkr103_57.npy,Spanish
spkr103_58.npy,Spanish
spkr103_59.npy,Spanish
spkr103_6.npy,Spanish
spkr103_60.npy,Spanish
spkr103_61.npy,Spanish
spkr103_62.npy,Spanish
spkr103_63.npy,Spanish
spkr103_64.npy,Spanish
spkr103_65.npy,Spanish
spkr103_66.npy,Spanish
spkr103_67.npy,Spanish
spkr103_68.npy,Spanish
spkr103_69.npy,Spanish
spkr103_7.npy,Spanish
spkr103_70.npy,Spanish
spkr103_71.npy,Spanish
spkr103_72.npy,Spanish
spkr103_73.npy,Spanish
spkr103_74.npy,Spanish
spkr103_75.npy,Spanish
spkr103_8.npy,Spanish
spkr103_9.npy,Spanish
spkr105_1.npy,Spanish
spkr105_10.npy,Spanish
spkr105_11.npy,Spanish
spkr105_12.npy,Spanish
spkr105_13.npy,Spanish
spkr105_14.npy,Spanish
spkr105_15.npy,Spanish
spkr105_18.npy,Spanish
spkr105_19.npy,Spanish
spkr105_20.npy,Spanish
spkr105_21.npy,Spanish
spkr105_22.npy,Spanish
spkr105_23.npy,Spanish
spkr105_24.npy,Spanish
spkr105_26.npy,Spanish
spkr105_28.npy,Spanish
spkr105_29.npy,Spanish
spkr105_30.npy,Spanish
spkr105_31.npy,Spanish
spkr105_33.npy,Spanish
spkr105_34.npy,Spanish
spkr105_35.npy,Spanish
spkr105_36.npy,Spanish
spkr105_37.npy,Spanish
spkr105_38.npy,Spanish
spkr105_4.npy,Spanish
spkr105_40.npy,Spanish
spkr105_42.npy,Spanish
spkr105_43.npy,Spanish
spkr105_44.npy,Spanish
spkr105_45.npy,Spanish
spkr105_5.npy,Spanish
spkr105_50.npy,Spanish
spkr105_51.npy,Spanish
spkr105_53.npy,Spanish
spkr105_55.npy,Spanish
spkr105_56.npy,Spanish
spkr105_57.npy,Spanish
spkr105_58.npy,Spanish
spkr105_59.npy,Spanish
spkr105_6.npy,Spanish
spkr105_60.npy,Spanish
spkr105_61.npy,Spanish
spkr105_63.npy,Spanish
spkr105_64.npy,Spanish
spkr105_65.npy,Spanish
spkr105_66.npy,Spanish
spkr105_67.npy,Spanish
spkr105_68.npy,Spanish
spkr105_69.npy,Spanish
spkr105_7.npy,Spanish
spkr105_70.npy,Spanish
spkr105_71.npy,Spanish
spkr105_72.npy,Spanish
spkr105_73.npy,Spanish
spkr105_74.npy,Spanish
spkr105_75.npy,Spanish
spkr105_8.npy,Spanish
spkr105_9.npy,Spanish
spkr109_1.npy,Spanish
spkr109_10.npy,Spanish
spkr109_12.npy,Spanish
spkr109_13.npy,Spanish
spkr109_14.npy,Spanish
spkr109_15.npy,Spanish
spkr109_18.npy,Spanish
spkr109_19.npy,Spanish
spkr109_2.npy,Spanish
spkr109_20.npy,Spanish
spkr109_21.npy,Spanish
spkr109_22.npy,Spanish
spkr109_23.npy,Spanish
spkr109_24.npy,Spanish
spkr109_26.npy,Spanish
spkr109_28.npy,Spanish
spkr109_29.npy,Spanish
spkr109_30.npy,Spanish
spkr109_31.npy,Spanish
spkr109_33.npy,Spanish
spkr109_34.npy,Spanish
spkr109_35.npy,Spanish
spkr109_36.npy,Spanish
spkr109_37.npy,Spanish
spkr109_38.npy,Spanish
spkr109_4.npy,Spanish
spkr109_40.npy,Spanish
spkr109_42.npy,Spanish
spkr109_43.npy,Spanish
spkr109_44.npy,Spanish
spkr109_45.npy,Spanish
spkr109_46.npy,Spanish
spkr109_5.npy,Spanish
spkr109_50.npy,Spanish
spkr109_51.npy,Spanish
spkr109_52.npy,Spanish
spkr109_53.npy,Spanish
spkr109_55.npy,Spanish
spkr109_56.npy,Spanish
spkr109_57.npy,Spanish
spkr109_58.npy,Spanish
spkr109_59.npy,Spanish
spkr109_6.npy,Spanish
spkr109_60.npy,Spanish
spkr109_61.npy,Spanish
spkr109_63.npy,Spanish
spkr109_64.npy,Spanish
spkr109_65.npy,Spanish
spkr109_66.npy,Spanish
spkr109_67.npy,Spanish
spkr109_68.npy,Spanish
spkr109_69.npy,Spanish
spkr109_7.npy,Spanish
spkr109_70.npy,Spanish
spkr109_71.npy,Spanish
spkr109_72.npy,Spanish
spkr109_73.npy,Spanish
spkr109_74.npy,Spanish
spkr109_75.npy,Spanish
spkr109_8.npy,Spanish
spkr109_9.npy,Spanish
spkr110_1.npy,Spanish
spkr110_10.npy,Spanish
spkr110_11.npy,Spanish
spkr110_12.npy,Spanish
spkr110_13.npy,Spanish
spkr110_14.npy,Spanish
spkr110_15.npy,Spanish
spkr110_18.npy,Spanish
spkr110_19.npy,Spanish
spkr110_2.npy,Spanish
spkr110_20.npy,Spanish
spkr110_21.npy,Spanish
spkr110_22.npy,Spanish
spkr110_23.npy,Spanish
spkr110_24.npy,Spanish
spkr110_26.npy,Spanish
spkr110_28.npy,Spanish
spkr110_29.npy,Spanish
spkr110_30.npy,Spanish
spkr110_31.npy,Spanish
spkr110_33.npy,Spanish
spkr110_34.npy,Spanish
spkr110_35.npy,Spanish
spkr110_36.npy,Spanish
spkr110_37.npy,Spanish
spkr110_38.npy,Spanish
spkr110_4.npy,Spanish
spkr110_42.npy,Spanish
spkr110_43.npy,Spanish
spkr110_44.npy,Spanish
spkr110_46.npy,Spanish
spkr110_5.npy,Spanish
spkr110_50.npy,Spanish
